title,area,link,location,follow,totalPrice,unitPrice
过两年大三房精装修高楼层正南向。,榄核镇,https://gz.lianjia.com/ershoufang/108400377080.html, | 3室2厅 | 95.8平米 | 南 北 | 简装 | 有电梯,14人关注 / 共6次带看 / 1个月以前发布,165,单价17224元/平米
诚意出售 实用三房 人口规划合理 出行方便,榄核镇,https://gz.lianjia.com/ershoufang/108400149395.html, | 3室2厅 | 90平米 | 东南 | 毛坯 | 有电梯,15人关注 / 共3次带看 / 5个月以前发布,153,单价17000元/平米
中大成 大两房 高层 南向 毛坯,金洲,https://gz.lianjia.com/ershoufang/108400338623.html, | 2室2厅 | 87.28平米 | 南 | 毛坯 | 有电梯,55人关注 / 共15次带看 / 1个月以前发布,185,单价21197元/平米
追求品质的生活，优雅的环境，您值得拥有,大岗镇,https://gz.lianjia.com/ershoufang/108400394666.html, | 3室2厅 | 106.46平米 | 南 | 毛坯 | 有电梯,3人关注 / 共0次带看 / 23天以前发布,160,单价15030元/平米
南沙潭州商品房低房价，月供无压力，即买即收租,大岗镇,https://gz.lianjia.com/ershoufang/108400394667.html, | 3室1厅 | 114.2平米 | 西南 | 简装,26人关注 / 共1次带看 / 23天以前发布,85,单价7444元/平米
品味生活此刻开始，誉林公园一号给您不一样的气息,大岗镇,https://gz.lianjia.com/ershoufang/108400394673.html, | 3室2厅 | 98.36平米 | 南 | 毛坯,1人关注 / 共0次带看 / 23天以前发布,160,单价16267元/平米
大岗瑞华大厦 西南向 户型正 通风好,大岗镇,https://gz.lianjia.com/ershoufang/108400394674.html, | 4室2厅 | 151.7平米 | 西南 | 简装,9人关注 / 共1次带看 / 23天以前发布,129,单价8504元/平米
单身公寓诚意出售 *复式2-3房 使用率高 总价低,榄核镇,https://gz.lianjia.com/ershoufang/108400385660.html, | 1室1厅 | 46.85平米 | 东 | 毛坯 | 有电梯,3人关注 / 共0次带看 / 28天以前发布,53,单价11313元/平米
翡翠蓝湾 精装三房 电梯高层 视野开阔,大岗镇,https://gz.lianjia.com/ershoufang/108400306772.html, | 3室2厅 | 99.07平米 | 南 | 精装 | 有电梯,9人关注 / 共0次带看 / 2个月以前发布,176,单价17766元/平米
诚意出售 实用两房 人口规划合理 出行方便,榄核镇,https://gz.lianjia.com/ershoufang/108400149397.html, | 2室2厅 | 76.03平米 | 东南 | 毛坯 | 有电梯,34人关注 / 共1次带看 / 5个月以前发布,129.2,单价16994元/平米
南沙万地雅涛阁 3室2厅 145万,万顷沙,https://gz.lianjia.com/ershoufang/108400229003.html, | 3室2厅 | 116.37平米 | 西南 | 毛坯,64人关注 / 共3次带看 / 3个月以前发布,145,单价12461元/平米
南沙心意华庭 2室2厅 155万,金洲,https://gz.lianjia.com/ershoufang/108400236490.html, | 2室2厅 | 67.78平米 | 东南 | 精装,93人关注 / 共5次带看 / 3个月以前发布,155,单价22869元/平米
万科南方公元 3室1厅 190万,黄阁,https://gz.lianjia.com/ershoufang/108400246381.html, | 3室1厅 | 88.26平米 | 南 | 精装,16人关注 / 共0次带看 / 3个月以前发布,190,单价21528元/平米
丰庭花园 高层电梯 南北对流 近金州站,金洲,https://gz.lianjia.com/ershoufang/108400162322.html, | 2室1厅 | 83.37平米 | 南 | 简装 | 有电梯,55人关注 / 共0次带看 / 5个月以前发布,180,单价21591元/平米
万科府前一号 实用舒适两房 精装保养好,南沙区府,https://gz.lianjia.com/ershoufang/108400163410.html, | 2室2厅 | 82.29平米 | 西 | 精装 | 有电梯,18人关注 / 共4次带看 / 5个月以前发布,190,单价23090元/平米
越秀滨海珺城 2室1厅 182万,滨海花园,https://gz.lianjia.com/ershoufang/108400172497.html, | 2室1厅 | 76.16平米 | 北 | 精装 | 有电梯,58人关注 / 共2次带看 / 5个月以前发布,182,单价23898元/平米
龙光棕榈水岸南区 2室2厅 130万,南沙区府,https://gz.lianjia.com/ershoufang/108400196771.html, | 2室2厅 | 57平米 | 南 北 | 毛坯 | 有电梯,50人关注 / 共3次带看 / 4个月以前发布,130,单价22808元/平米
龙光棕榈水岸南区 1室2厅 135万,南沙区府,https://gz.lianjia.com/ershoufang/108400252457.html, | 1室2厅 | 52平米 | 南 | 精装 | 有电梯,49人关注 / 共1次带看 / 3个月以前发布,135,单价25962元/平米
南沙奥园 2室2厅 145万,南沙科技园,https://gz.lianjia.com/ershoufang/108400253952.html, | 2室2厅 | 78.44平米 | 西南 | 精装 | 有电梯,32人关注 / 共0次带看 / 3个月以前发布,145,单价18486元/平米
碧桂园天玺湾 2室1厅 170万,进港大道,https://gz.lianjia.com/ershoufang/108400271195.html, | 2室1厅 | 77平米 | 西北 | 简装 | 有电梯,9人关注 / 共0次带看 / 2个月以前发布,170,单价22078元/平米
海力花园 2室2厅 165万,进港大道,https://gz.lianjia.com/ershoufang/108400277245.html, | 2室2厅 | 92平米 | 南 | 毛坯 | 有电梯,2人关注 / 共0次带看 / 2个月以前发布,165,单价17935元/平米
碧桂园天玺湾 2室1厅 188万,进港大道,https://gz.lianjia.com/ershoufang/108400293963.html, | 2室1厅 | 82.63平米 | 西南 | 精装 | 有电梯,6人关注 / 共0次带看 / 2个月以前发布,188,单价22753元/平米
证过两年，房屋采光比较好，通透、小区环境优美。,进港大道,https://gz.lianjia.com/ershoufang/108400312660.html, | 2室2厅 | 76.88平米 | 北 | 精装 | 有电梯,7人关注 / 共4次带看 / 2个月以前发布,170,单价22113元/平米
南沙碧桂园豪庭 2室2厅 196万,金洲,https://gz.lianjia.com/ershoufang/108400318061.html, | 2室2厅 | 79.75平米 | 南 东北 | 精装,1人关注 / 共2次带看 / 2个月以前发布,196,单价24577元/平米
越秀滨海珺城 2室2厅 180万,滨海花园,https://gz.lianjia.com/ershoufang/108400308359.html, | 2室2厅 | 76.16平米 | 北 | 毛坯 | 有电梯,2人关注 / 共0次带看 / 2个月以前发布,180,单价23635元/平米
优山美墅 3室2厅 180万,南沙港,https://gz.lianjia.com/ershoufang/108400146204.html, | 3室2厅 | 110.12平米 | 东 西 | 毛坯 | 无电梯,17人关注 / 共0次带看 / 5个月以前发布,180,单价16346元/平米
越秀滨海珺城 产证满2年 业主诚售,滨海花园,https://gz.lianjia.com/ershoufang/108400146320.html, | 2室1厅 | 76.21平米 | 西北 | 毛坯 | 有电梯,116人关注 / 共6次带看 / 5个月以前发布,166,单价21782元/平米
优山美墅 3室2厅 198万,南沙港,https://gz.lianjia.com/ershoufang/108400160828.html, | 3室2厅 | 125.8平米 | 东南 | 毛坯 | 有电梯,22人关注 / 共3次带看 / 5个月以前发布,198,单价15740元/平米
阳光城丽景湾 南向两房 楼层靓,进港大道,https://gz.lianjia.com/ershoufang/108400164554.html, | 2室2厅 | 76.04平米 | 南 | 精装 | 有电梯,43人关注 / 共3次带看 / 5个月以前发布,145,单价19069元/平米
南沙区府板块 精装刚需两房 买来即住,南沙区府,https://gz.lianjia.com/ershoufang/108400196737.html, | 2室2厅 | 74平米 | 东北 | 精装 | 有电梯,106人关注 / 共0次带看 / 4个月以前发布,175,单价23649元/平米
南沙玫瑰花园 3室2厅 180万,南沙旧镇,https://gz.lianjia.com/ershoufang/108400233813.html, | 3室2厅 | 105平米 | 南 | 精装,27人关注 / 共0次带看 / 3个月以前发布,180,单价17143元/平米
南沙心意华庭 3室2厅 156万,金洲,https://gz.lianjia.com/ershoufang/108400311940.html, | 3室2厅 | 81.23平米 | 南 | 毛坯,25人关注 / 共7次带看 / 2个月以前发布,156,单价19205元/平米
此房户型方正，南北对流，采光通风好，管理好,金洲,https://gz.lianjia.com/ershoufang/108400320266.html, | 3室2厅 | 69.23平米 | 南 | 简装 | 有电梯,12人关注 / 共0次带看 / 1个月以前发布,150,单价21667元/平米
万科南方公元 2室2厅 155万,黄阁,https://gz.lianjia.com/ershoufang/108400323385.html, | 2室2厅 | 73平米 | 北 | 精装,11人关注 / 共4次带看 / 1个月以前发布,155,单价21233元/平米
南方公元 高楼层采光好视野开阔  格局方正,黄阁,https://gz.lianjia.com/ershoufang/108400334664.html, | 3室2厅 | 89.5平米 | 北 | 精装,2人关注 / 共3次带看 / 1个月以前发布,170,单价18995元/平米
中盈一海里电梯望江三房  离地铁站929米,环市大道西,https://gz.lianjia.com/ershoufang/108400341521.html, | 3室2厅 | 97平米 | 南 | 毛坯 | 有电梯,12人关注 / 共0次带看 / 1个月以前发布,198,单价20413元/平米
龙光棕榈水岸南区 2室1厅 135万,南沙区府,https://gz.lianjia.com/ershoufang/108400350138.html, | 2室1厅 | 51.92平米 | 南 | 精装 | 有电梯,32人关注 / 共6次带看 / 1个月以前发布,135,单价26002元/平米
悠山时光 3室2厅 188万,南沙港,https://gz.lianjia.com/ershoufang/108400370710.html, | 3室2厅 | 97.01平米 | 北 | 简装,10人关注 / 共2次带看 / 1个月以前发布,188,单价19380元/平米
南沙万达广场南沙繁华区金洲蕉门双地铁可以个人购买,金洲,https://gz.lianjia.com/ershoufang/108400098439.html, | 1室1厅 | 52.48平米 | 南 | 精装 | 有电梯,77人关注 / 共0次带看 / 6个月以前发布,78,单价14863元/平米
好出租的写字楼公寓 位置佳 地铁站旁,金洲,https://gz.lianjia.com/ershoufang/108400159228.html, | 1室0厅 | 52平米 | 南 | 毛坯 | 有电梯,3人关注 / 共0次带看 / 5个月以前发布,83.2,单价16000元/平米
凯德新玥 1室1厅 70万,榄核镇,https://gz.lianjia.com/ershoufang/108400165458.html, | 1室1厅 | 46.85平米 | 西 | 毛坯 | 有电梯,2人关注 / 共0次带看 / 5个月以前发布,70,单价14942元/平米
凯德新玥 1室0厅 65万,榄核镇,https://gz.lianjia.com/ershoufang/108400175645.html, | 1室0厅 | 47.89平米 | 西 | 毛坯 | 有电梯,0人关注 / 共0次带看 / 5个月以前发布,65,单价13573元/平米
南沙万达广场 1室1厅 55万,金洲,https://gz.lianjia.com/ershoufang/108400323156.html, | 1室1厅 | 49.61平米 | 西南 | 精装 | 有电梯,16人关注 / 共5次带看 / 1个月以前发布,55,单价11087元/平米
中大城 1室1厅 118万,金洲,https://gz.lianjia.com/ershoufang/108400172150.html, | 1室1厅 | 69.21平米 | 南 西 | 毛坯 | 有电梯,31人关注 / 共0次带看 / 5个月以前发布,118,单价17050元/平米
南沙万达广场 1室1厅 91万,金洲,https://gz.lianjia.com/ershoufang/108400199524.html, | 1室1厅 | 63.02平米 | 东南 | 精装 | 有电梯,30人关注 / 共0次带看 / 4个月以前发布,91,单价14440元/平米
南沙涉外公馆 2室2厅 95万,进港大道,https://gz.lianjia.com/ershoufang/108400253400.html, | 2室2厅 | 50.78平米 | 南 | 精装,5人关注 / 共0次带看 / 3个月以前发布,95,单价18709元/平米
南沙涉外公馆 1室1厅 95万,进港大道,https://gz.lianjia.com/ershoufang/108400253404.html, | 1室1厅 | 51.34平米 | 北 | 简装,5人关注 / 共0次带看 / 3个月以前发布,95,单价18505元/平米
复式单位公寓物业新装修电梯房。,榄核镇,https://gz.lianjia.com/ershoufang/108400261080.html, | 3室1厅 | 46.85平米 | 东 | 精装 | 有电梯,58人关注 / 共0次带看 / 2个月以前发布,65,单价13875元/平米
华汇国际广场 2室2厅 135万,进港大道,https://gz.lianjia.com/ershoufang/108400294132.html, | 2室2厅 | 119.04平米 | 南 北 | 精装 | 有电梯,4人关注 / 共0次带看 / 2个月以前发布,135,单价11341元/平米
南沙涉外公馆 1室1厅 72万,进港大道,https://gz.lianjia.com/ershoufang/108400327518.html, | 1室1厅 | 49平米 | 西北 | 精装,6人关注 / 共0次带看 / 1个月以前发布,72,单价14694元/平米
凯德新玥电梯中层，拎包入住，户型格局好，装修保养好,榄核镇,https://gz.lianjia.com/ershoufang/108400393693.html, | 2室2厅 | 78.8平米 | 东 | 精装,3人关注 / 共1次带看 / 24天以前发布,135,单价17132元/平米
大岗镇南路，使用率高的户型，房型正气，随时可看房,大岗镇,https://gz.lianjia.com/ershoufang/108400433317.html, | 3室2厅 | 94平米 | 南 | 简装,0人关注 / 共0次带看 / 2天以前发布,85,单价9043元/平米
叠翠峰 2室2厅 175万,南沙区府,https://gz.lianjia.com/ershoufang/108400233209.html, | 2室2厅 | 72.87平米 | 东北 | 精装 | 有电梯,25人关注 / 共7次带看 / 3个月以前发布,175,单价24016元/平米
户型方正实用，朝向好，采光好，依山傍水，舒适宜居,南沙科技园,https://gz.lianjia.com/ershoufang/108400402282.html, | 3室2厅 | 99平米 | 东南 | 精装,2人关注 / 共1次带看 / 19天以前发布,198,单价20000元/平米
碧桂园天玺湾 3室2厅 198万,进港大道,https://gz.lianjia.com/ershoufang/108400405871.html, | 3室2厅 | 83.07平米 | 西南 | 精装 | 有电梯,5人关注 / 共0次带看 / 17天以前发布,198,单价23836元/平米
优山美墅 3室1厅 168万,南沙港,https://gz.lianjia.com/ershoufang/108400408050.html, | 3室1厅 | 79.83平米 | 南 北 | 精装 | 有电梯,3人关注 / 共0次带看 / 16天以前发布,168,单价21045元/平米
兴业花园中层2房，您的满意，我的追求,大岗镇,https://gz.lianjia.com/ershoufang/108400343956.html, | 2室1厅 | 71.65平米 | 北 | 简装 | 无电梯,22人关注 / 共2次带看 / 1个月以前发布,112,单价15632元/平米
富门花园 5室2厅 160万,黄阁,https://gz.lianjia.com/ershoufang/108400371189.html, | 5室2厅 | 160平米 | 东南 | 精装 | 无电梯,6人关注 / 共0次带看 / 1个月以前发布,160,单价10000元/平米
南沙企业总部聚集区，南向双阳台写字楼，单价9千/平方,金洲,https://gz.lianjia.com/ershoufang/108400372487.html, | 2室2厅 | 94.7平米 | 南 | 简装 | 有电梯,12人关注 / 共5次带看 / 1个月以前发布,86,单价9082元/平米
丰庭花园 首层3居室 186万 诚意出售 随时看房,金洲,https://gz.lianjia.com/ershoufang/108400165900.html, | 3室2厅 | 89.98平米 | 东北 | 精装 | 有电梯,40人关注 / 共1次带看 / 5个月以前发布,186,单价20672元/平米
富佳花园 金港大道金州 大三房带入户花园 南北通透,进港大道,https://gz.lianjia.com/ershoufang/108400249957.html, | 3室2厅 | 97.5平米 | 北 | 精装 | 有电梯,25人关注 / 共1次带看 / 3个月以前发布,190,单价19488元/平米
广州时代云图 2室2厅 180万,金洲,https://gz.lianjia.com/ershoufang/108400323115.html, | 2室2厅 | 72.58平米 | 北 | 精装 | 有电梯,30人关注 / 共0次带看 / 1个月以前发布,180,单价24801元/平米
进港大道蝴蝶谷公园旁 100平方2室 精装出售,金洲,https://gz.lianjia.com/ershoufang/108400146315.html, | 2室2厅 | 100.95平米 | 南 | 精装 | 有电梯,13人关注 / 共0次带看 / 5个月以前发布,175,单价17336元/平米
南沙企业总部聚集区过五唯一 实用两房,金洲,https://gz.lianjia.com/ershoufang/108400186940.html, | 2室2厅 | 79.75平米 | 东北 | 精装 | 有电梯,56人关注 / 共3次带看 / 4个月以前发布,198,单价24828元/平米
富佳花园 2室1厅 165万,进港大道,https://gz.lianjia.com/ershoufang/108400274085.html, | 2室1厅 | 80.15平米 | 南 | 精装 | 有电梯,22人关注 / 共0次带看 / 2个月以前发布,165,单价20587元/平米
观海美寓 2室2厅 162万,南沙旧镇,https://gz.lianjia.com/ershoufang/108400343092.html, | 2室2厅 | 85平米 | 西 | 精装,7人关注 / 共1次带看 / 1个月以前发布,162,单价19059元/平米
龙光棕榈水岸北区 2室2厅 185万,南沙区府,https://gz.lianjia.com/ershoufang/108400358205.html, | 2室2厅 | 70.4平米 | 东南 | 精装 | 有电梯,4人关注 / 共3次带看 / 1个月以前发布,185,单价26279元/平米
南沙碧桂园海帆轩 2室2厅 155万,金洲,https://gz.lianjia.com/ershoufang/108400359973.html, | 2室2厅 | 70平米 | 东北 | 精装 | 无电梯,8人关注 / 共1次带看 / 1个月以前发布,155,单价22143元/平米
创鸿嘉园 4室2厅 98万,金洲,https://gz.lianjia.com/ershoufang/108400423245.html, | 4室2厅 | 70.63平米 | 南 | 毛坯 | 有电梯,1人关注 / 共0次带看 / 8天以前发布,98,单价13876元/平米
逸涛雅苑 71.6方两室一厅 一楼带50方花园，首付45万,进港大道,https://gz.lianjia.com/ershoufang/108400323237.html, | 2室1厅 | 71.6平米 | 东北 | 简装,59人关注 / 共15次带看 / 1个月以前发布,130,单价18157元/平米
南沙碧桂园翠畔轩 3室2厅 195万,金洲,https://gz.lianjia.com/ershoufang/108400326120.html, | 3室2厅 | 108平米 | 东北 | 简装 | 有电梯,10人关注 / 共0次带看 / 1个月以前发布,195,单价18056元/平米
丰庭花园 3室2厅 195万,金洲,https://gz.lianjia.com/ershoufang/108400378018.html, | 3室2厅 | 89.14平米 | 东 东北 | 简装 | 有电梯,10人关注 / 共2次带看 / 1个月以前发布,195,单价21876元/平米
凯德新玥 3室2厅 168万,榄核镇,https://gz.lianjia.com/ershoufang/108400401320.html, | 3室2厅 | 87.26平米 | 南 | 精装 | 有电梯,0人关注 / 共3次带看 / 20天以前发布,168,单价19253元/平米
奥园金莎广场 1室1厅 70万,金洲,https://gz.lianjia.com/ershoufang/108400416608.html, | 1室1厅 | 55.48平米 | 南 | 精装 | 有电梯,0人关注 / 共0次带看 / 11天以前发布,70,单价12618元/平米
奥园金莎广场 1室1厅 70万,金洲,https://gz.lianjia.com/ershoufang/108400419260.html, | 1室1厅 | 46.81平米 | 南 | 精装 | 有电梯,0人关注 / 共0次带看 / 10天以前发布,70,单价14955元/平米
翡翠蓝湾电梯三房 位置安静 中高楼层,大岗镇,https://gz.lianjia.com/ershoufang/108400082860.html, | 3室2厅 | 101.45平米 | 南 | 毛坯 | 有电梯,16人关注 / 共3次带看 / 7个月以前发布,162,单价15969元/平米
大岗翡翠蓝湾精装修2房，带20方平台，拎包入住！,大岗镇,https://gz.lianjia.com/ershoufang/108400346477.html, | 2室2厅 | 84.9平米 | 东北 | 精装,13人关注 / 共2次带看 / 1个月以前发布,123,单价14488元/平米
"近焦门河,二房二厅一卫,业主诚心出售,看房方便.",进港大道,https://gz.lianjia.com/ershoufang/108200019019.html, | 2室2厅 | 81.12平米 | 南 | 毛坯 | 有电梯,39人关注 / 共1次带看 / 11个月以前发布,165,单价20341元/平米
大岗翡翠蓝湾北区 3室2厅 152万,大岗镇,https://gz.lianjia.com/ershoufang/108400082869.html, | 3室2厅 | 101.54平米 | 西南 | 简装 | 有电梯,27人关注 / 共3次带看 / 7个月以前发布,152,单价14970元/平米
舒适两房，精装保养好，买来即住；,南沙区府,https://gz.lianjia.com/ershoufang/108400387693.html, | 2室2厅 | 82.29平米 | 西南 | 精装 | 有电梯,7人关注 / 共4次带看 / 27天以前发布,198,单价24062元/平米
南沙·富力唐宁 2室1厅 145万,南沙港,https://gz.lianjia.com/ershoufang/108400394068.html, | 2室1厅 | 78平米 | 北 | 精装,4人关注 / 共0次带看 / 24天以前发布,145,单价18590元/平米
大岗翡翠蓝湾北区 3室1厅 155万,大岗镇,https://gz.lianjia.com/ershoufang/108400394556.html, | 3室1厅 | 98平米 | 东南 | 简装 | 有电梯,2人关注 / 共0次带看 / 23天以前发布,155,单价15817元/平米
翡翠蓝湾2房，好房不是用来欣赏，是用来享受的,大岗镇,https://gz.lianjia.com/ershoufang/108400397509.html, | 2室1厅 | 78.95平米 | 东北 | 精装 | 无电梯,4人关注 / 共0次带看 / 22天以前发布,135,单价17100元/平米
优山悦海 2室2厅 192万,南沙港,https://gz.lianjia.com/ershoufang/108400398904.html, | 2室2厅 | 80.98平米 | 南 | 精装 | 有电梯,10人关注 / 共1次带看 / 21天以前发布,192,单价23710元/平米
广晟海韵兰庭 2室2厅 128万,进港大道,https://gz.lianjia.com/ershoufang/108400402080.html, | 2室2厅 | 67.36平米 | 南 | 精装 | 有电梯,12人关注 / 共4次带看 / 19天以前发布,128,单价19003元/平米
新小区电梯高层南向 视野开豁 开放商精装,黄阁,https://gz.lianjia.com/ershoufang/108400214559.html, | 2室2厅 | 66.83平米 | 北 | 精装 | 有电梯,62人关注 / 共10次带看 / 4个月以前发布,140,单价20949元/平米
敏捷君御国际 1室1厅 68万,金洲,https://gz.lianjia.com/ershoufang/108400389405.html, | 1室1厅 | 58.58平米 | 南 | 精装 | 有电梯,2人关注 / 共0次带看 / 26天以前发布,68,单价11609元/平米
南沙万达广场 1室1厅 60万,金洲,https://gz.lianjia.com/ershoufang/108400398393.html, | 1室1厅 | 39平米 | 南 | 精装 | 有电梯,4人关注 / 共0次带看 / 22天以前发布,60,单价15385元/平米
辉达楼 3室2厅 155万,大岗镇,https://gz.lianjia.com/ershoufang/108400011866.html, | 3室2厅 | 158平米 | 南 | 简装 | 无电梯,39人关注 / 共0次带看 / 10个月以前发布,155,单价9811元/平米
中惠璧珑湾  蕉门河  刚需小2房,南沙区府,https://gz.lianjia.com/ershoufang/108400221490.html, | 2室1厅 | 78.76平米 | 南 | 精装 | 有电梯,111人关注 / 共10次带看 / 4个月以前发布,192,单价24378元/平米
南沙保利城 两房高层南向户型 视野开阔,黄阁,https://gz.lianjia.com/ershoufang/108400151552.html, | 2室2厅 | 76.61平米 | 南 | 简装,159人关注 / 共9次带看 / 5个月以前发布,160,单价20886元/平米
南沙万达广场 1室0厅 89万,金洲,https://gz.lianjia.com/ershoufang/108400413673.html, | 1室0厅 | 58.82平米 | 南 | 其他 | 有电梯,0人关注 / 共0次带看 / 13天以前发布,89,单价15131元/平米
南沙碧桂园翠畔轩 2室2厅 189万,金洲,https://gz.lianjia.com/ershoufang/108400142484.html, | 2室2厅 | 90.15平米 | 南 | 精装 | 有电梯,24人关注 / 共0次带看 / 6个月以前发布,189,单价20966元/平米
龙光棕榈水岸南区 2室2厅 190万,南沙区府,https://gz.lianjia.com/ershoufang/108400196770.html, | 2室2厅 | 86.96平米 | 东南 南 | 毛坯 | 有电梯,8人关注 / 共1次带看 / 4个月以前发布,190,单价21850元/平米
丰庭花园 3室2厅 198万,金洲,https://gz.lianjia.com/ershoufang/108400200825.html, | 3室2厅 | 89.98平米 | 东北 | 精装 | 有电梯,53人关注 / 共0次带看 / 4个月以前发布,198,单价22005元/平米
楼层好、视野广阔、采光十足，业主诚心出售,金洲,https://gz.lianjia.com/ershoufang/108400232162.html, | 3室2厅 | 122.42平米 | 南 | 精装 | 有电梯,19人关注 / 共1次带看 / 3个月以前发布,185,单价15112元/平米
南沙玫瑰花园 2室1厅 136.5万,南沙旧镇,https://gz.lianjia.com/ershoufang/108400233818.html, | 2室1厅 | 77.9平米 | 南 | 精装,10人关注 / 共3次带看 / 3个月以前发布,136.5,单价17523元/平米
新电梯房  装修保养新净 户型通风,榄核镇,https://gz.lianjia.com/ershoufang/108400298733.html, | 3室2厅 | 87.96平米 | 南 | 精装 | 有电梯,15人关注 / 共4次带看 / 2个月以前发布,162,单价18418元/平米
裕兴花园 金洲老城区 配套齐全 高楼层 证过两年,进港大道,https://gz.lianjia.com/ershoufang/108400323226.html, | 3室2厅 | 130.1平米 | 西 | 精装 | 无电梯,9人关注 / 共0次带看 / 1个月以前发布,145,单价11146元/平米
逸涛雅苑 东南向2房2卫 诚心出售房屋150万,进港大道,https://gz.lianjia.com/ershoufang/108400323236.html, | 2室2厅 | 86.55平米 | 东南 | 简装,25人关注 / 共2次带看 / 1个月以前发布,150,单价17332元/平米
南沙裕兴花园 房产证满两年 三房简单装修,进港大道,https://gz.lianjia.com/ershoufang/108400326900.html, | 3室2厅 | 129.7平米 | 西 | 简装 | 无电梯,9人关注 / 共2次带看 / 1个月以前发布,150,单价11566元/平米
海力花园 2室1厅 130万,进港大道,https://gz.lianjia.com/ershoufang/108400332325.html, | 2室1厅 | 46平米 | 北 | 精装,13人关注 / 共4次带看 / 1个月以前发布,130,单价28261元/平米
美福花园 3室2厅 153万,金洲,https://gz.lianjia.com/ershoufang/108400356447.html, | 3室2厅 | 116.4平米 | 北 | 简装 | 有电梯,7人关注 / 共0次带看 / 1个月以前发布,153,单价13145元/平米
丰庭花园舒适三房两卫，中层望小区花园,金洲,https://gz.lianjia.com/ershoufang/108400357114.html, | 3室2厅 | 94.28平米 | 南 北 | 精装 | 有电梯,25人关注 / 共0次带看 / 1个月以前发布,195,单价20684元/平米
万科南方公元 2室1厅 150万,黄阁,https://gz.lianjia.com/ershoufang/108400412438.html, | 2室1厅 | 73平米 | 南 | 其他,6人关注 / 共0次带看 / 13天以前发布,150,单价20548元/平米
阳光城丽景湾 2室2厅 155万,进港大道,https://gz.lianjia.com/ershoufang/108400427231.html, | 2室2厅 | 84平米 | 南 | 其他,4人关注 / 共0次带看 / 6天以前发布,155,单价18453元/平米
敏捷尚品毛坯公寓一房一厅.....,金洲,https://gz.lianjia.com/ershoufang/108400351548.html, | 1室1厅 | 47.61平米 | 东南 | 精装 | 有电梯,0人关注 / 共0次带看 / 1个月以前发布,68,单价14283元/平米
配套完善 南沙河畔新小区，精装欧式风格,大岗镇,https://gz.lianjia.com/ershoufang/108400069295.html, | 2室1厅 | 78.8平米 | 南 | 精装,93人关注 / 共3次带看 / 7个月以前发布,127,单价16117元/平米
凯德新玥实用3房 人口规划合理 出行方便,榄核镇,https://gz.lianjia.com/ershoufang/108400076367.html, | 3室2厅 | 87.99平米 | 南 | 精装 | 有电梯,40人关注 / 共3次带看 / 7个月以前发布,148,单价16821元/平米
创鸿嘉园 采光好 精装修 方正实用率高,金洲,https://gz.lianjia.com/ershoufang/108400205676.html, | 2室1厅 | 51平米 | 北 | 简装 | 有电梯,85人关注 / 共0次带看 / 4个月以前发布,85,单价16667元/平米
华汇国际广场 1室1厅 58万,进港大道,https://gz.lianjia.com/ershoufang/108400275603.html, | 1室1厅 | 55.9平米 | 南 北 | 精装 | 有电梯,7人关注 / 共0次带看 / 2个月以前发布,58,单价10376元/平米
敏捷君御国际 1室1厅 99万,金洲,https://gz.lianjia.com/ershoufang/108400172655.html, | 1室1厅 | 72.51平米 | 东南 | 精装 | 有电梯,0人关注 / 共0次带看 / 5个月以前发布,99,单价13654元/平米
明珠花园(南沙区) 3室2厅 160万,金洲,https://gz.lianjia.com/ershoufang/108400217718.html, | 3室2厅 | 127.2平米 | 南 | 简装,14人关注 / 共0次带看 / 4个月以前发布,160,单价12579元/平米
怡景园 3室2厅 130万,黄阁,https://gz.lianjia.com/ershoufang/108400345212.html, | 3室2厅 | 108.7平米 | 南 | 简装 | 无电梯,11人关注 / 共2次带看 / 1个月以前发布,130,单价11960元/平米
翡翠蓝湾 大三房朝南 可公积金贷,大岗镇,https://gz.lianjia.com/ershoufang/108400380661.html, | 3室2厅 | 98.19平米 | 南 北 | 毛坯 | 有电梯,2人关注 / 共0次带看 / 30天以前发布,160,单价16295元/平米
万科南方公元 3室2厅 165万,黄阁,https://gz.lianjia.com/ershoufang/108400386313.html, | 3室2厅 | 88.23平米 | 南 | 精装,9人关注 / 共3次带看 / 27天以前发布,165,单价18702元/平米
珠江源昌花园 2室2厅 152万,万顷沙,https://gz.lianjia.com/ershoufang/108400305732.html, | 2室2厅 | 79.66平米 | 东南 | 毛坯,3人关注 / 共0次带看 / 2个月以前发布,152,单价19082元/平米
奥园海景城 精装公寓 可办公用,金洲,https://gz.lianjia.com/ershoufang/108200061630.html, | 1室0厅 | 44.33平米 | 东 | 精装 | 有电梯,14人关注 / 共0次带看 / 11个月以前发布,80,单价18047元/平米
中惠国际金融中心 1室1厅 106万,南沙区府,https://gz.lianjia.com/ershoufang/108400112436.html, | 1室1厅 | 53.1平米 | 北 | 毛坯 | 有电梯,2人关注 / 共0次带看 / 6个月以前发布,106,单价19963元/平米
南沙万达广场 1室0厅 58万,金洲,https://gz.lianjia.com/ershoufang/108400115670.html, | 1室0厅 | 40.03平米 | 西 | 简装 | 有电梯,21人关注 / 共0次带看 / 6个月以前发布,58,单价14490元/平米
创鸿嘉园 2室1厅 80万,金洲,https://gz.lianjia.com/ershoufang/108400323133.html, | 2室1厅 | 51.24平米 | 北 | 精装 | 有电梯,6人关注 / 共0次带看 / 1个月以前发布,80,单价15613元/平米
